kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_depth,koi_duration,koi_prad,koi_sma,koi_teq,koi_model_snr
10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1.0,9.48803557,615.8,2.9575,2.26,0.0853,793.0,35.8
10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.969,54.4183827,874.8,4.507,2.83,0.2734,443.0,25.8
10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1.0,2.525591777,603.3,1.6545,2.75,0.0374,1406.0,40.9
10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1.0,11.09432054,1517.5,4.5945,3.9,0.0992,835.0,66.5
10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1.0,4.13443512,686.0,3.1402,2.77,0.0514,1160.0,40.2
10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.992,2.56658897,226.5,2.429,1.59,0.0374,1360.0,15.0
10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1.0,16.06864674,4914.3,3.5347,5.76,0.1158,600.0,161.9
11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,2.470613377,14230.9,1.74319,13.04,0.0354,1339.0,4304.3
10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1.0,2.204735417,6674.7,3.88864,16.1,0.0376,2048.0,5945.9
6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,3.522498429,9145.7,3.19843,14.59,0.0473,1521.0,1741.5
10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1.0,3.709214104,131.1,2.6302,1.16,0.0465,1206.0,50.6
10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1.0,9.27358173,1288.3,3.2875,2.47,0.0759,649.0,87.2
10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1.0,6.02930329,1912.7,1.5821,2.85,0.0585,678.0,65.4
10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,1.0,5.349553819,831.0,3.0278,2.55,0.0563,919.0,60.6
10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0.98,3.94105221,363.3,2.5984,1.7,0.046,1018.0,28.9
10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0.971,8.10904807,217.4,3.596,1.3,0.0743,800.0,14.1
10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,1.0,21.67699193,857.2,3.4555,2.95,0.1408,530.0,34.3
10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,1.0,4.99677968,934.7,2.1717,2.78,0.0559,917.0,28.2
