kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_depth,koi_duration,koi_prad,koi_sma,koi_teq,koi_model_snr
10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.736952453,8079.2,2.40641,33.46,0.0267,1395.0,505.6
6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,7.36178958,233.7,5.022,39.21,0.082,1342.0,47.7
10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,11.521446064,17984.3,3.6399,150.51,0.0978,753.0,622.1
10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,19.40393776,8918.7,12.2155,7.18,0.123,523.0,214.7
10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,19.221388942,74284.0,4.79843,49.29,0.1417,698.0,2317.0
10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,16.46983774,10478.9,9.4378,7.94,0.1147,595.0,303.4
10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.696370652,397.9,3.6129,1.58,0.0349,1066.0,48.2
2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,,386.6030528,24926.6,6.8057,41.5,1.0719,297.0,994.0
11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.50635409,2211.7,1.5155,4.53,0.025,1452.0,181.1
11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,670.645531,18090.6,53.412,14.14,1.5155,196.0,642.7
11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,61.2563628,5123.3,7.633,39.87,0.3137,505.0,85.3
11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.701287801,860.4,3.3827,6.54,0.0365,1222.0,48.3
11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,19.651209505,11766.3,5.2514,12.42,0.1433,730.0,513.4
11442465,K00768.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,33.93373447,8503.7,14.561,7.34,0.1881,430.0,236.1
11656840,K00774.01,,FALSE POSITIVE,FALSE POSITIVE,0.014,7.442652004,24446.2,2.3078,15.03,0.0742,967.0,835.6
11909839,K00779.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,10.405998015,14488.8,6.5036,11.23,0.0855,833.0,745.2
3120431,K00798.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,3.341913228,725.3,3.813,21.55,0.0415,1032.0,39.0
3246984,K00799.01,,FALSE POSITIVE,FALSE POSITIVE,0.773,1.626630225,1620.6,2.1145,32.43,0.026,1547.0,103.6
12459725,K00789.01,,FALSE POSITIVE,FALSE POSITIVE,,14.1798187,459.9,2.505,1.88,0.1137,711.0,11.2
2440757,K00792.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.433769925,1976.3,1.8868,46.58,0.0256,1920.0,112.6
2445129,K00793.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,10.31872301,871.7,3.836,28.59,0.0944,876.0,38.2
3114661,K00796.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.444291966,10967.4,2.0792,27.51,0.0101,1836.0,299.7
3554600,K00803.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,7.544039,322.6,6.222,17.47,0.0731,838.0,14.2
3734868,K00805.01,,FALSE POSITIVE,FALSE POSITIVE,0.053,10.328035714,16917.7,7.7915,13.28,0.0888,843.0,636.8
3836375,K00807.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.540397253,816.1,2.1541,25.69,0.0264,1470.0,38.8
3838486,K00808.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.99025443,589.2,5.414,1.7,0.0367,918.0,48.5
5287983,K00828.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.507089906,1339.2,2.0067,30.26,0.0365,1326.0,64.9
4932348,K00819.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,38.036729482,82871.6,4.34617,27.5,0.2252,500.0,1300.0
11913073,K00011.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,3.747838198,616.0,5.0642,13.65,0.046,1031.0,138.2
5077629,K00822.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,7.91936937,15148.1,3.3148,10.34,0.0737,814.0,389.0
5283542,K00827.01,,FALSE POSITIVE,FALSE POSITIVE,0.037,5.97581754,962.4,3.065,3.86,0.066,1047.0,50.3
5649215,K00839.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.446737317,1177.9,4.7211,26.25,0.0351,1261.0,110.2
5370302,K00831.01,,FALSE POSITIVE,FALSE POSITIVE,0.006,3.9043425,16228.4,3.831,12.28,0.0484,1104.0,323.4
5372966,K00832.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,9.286358079,44791.4,3.49949,17.61,0.081,796.0,1671.1
5376067,K00833.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,3.951405455,2453.9,2.1862,31.44,0.0482,1133.0,117.2
5481416,K00836.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.384052875,1268.1,3.0918,17.06,0.0308,1010.0,50.5
5534814,K00838.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,4.859386384,6044.3,2.2757,38.33,0.0571,1114.0,269.7
6267425,K00848.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,3.166465862,4357.2,2.9381,26.82,0.0371,954.0,122.1
6675056,K00859.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,10.44331991,1159.8,2.743,2.66,0.0857,667.0,51.7
6756669,K00862.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,5.851520671,33003.6,3.11058,14.62,0.0591,901.0,1630.4
6862603,K00866.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.861159894,1014.3,1.8832,4.37,0.0406,1355.0,58.3
11869052,K00120.01,,FALSE POSITIVE,FALSE POSITIVE,0.573,20.5452375,218.5,2.517,2.41,0.1437,742.0,18.5
7270230,K00876.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,6.998099523,20285.0,2.0488,588.66,0.0698,853.0,192.3
