kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_depth,koi_duration,koi_prad,koi_sma,koi_teq,koi_model_snr,label
7281411,K04339.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0.566804221,166.0,4.639,0.85,0.0115,1737.0,31.0,0
6890618,K06787.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.574063832,1118.1,5.6357,28.63,0.0253,1619.0,145.3,0
7983117,K03214.01,Kepler-1988 b,CONFIRMED,CANDIDATE,1.0,11.49500229,51.4,7.602,1.53,0.1038,1105.0,22.9,1
5164794,K06531.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.0429419,412.0,7.22,2.49,0.0202,1795.0,40.9,0
9364290,K02374.02,Kepler-382 c,CONFIRMED,CANDIDATE,0.998,12.1628195,306.3,2.3161,3.14,0.1023,882.0,15.2,1
5385548,K06128.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,12.42555055,409.0,28.492,3.79,0.107,1027.0,123.7,0
5795648,K06016.01,,FALSE POSITIVE,FALSE POSITIVE,0.802,4.553370029,23692.1,3.2209,25.84,0.0537,1264.0,570.6,0
4826110,K01524.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1.333395306,114.5,1.188,0.86,0.0221,1390.0,11.5,0
8494410,K03685.02,Kepler-1516 b,CONFIRMED,CANDIDATE,1.0,7.2593226,247.5,6.1394,1.57,0.0718,967.0,40.1,1
10139305,K06077.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,2.173552528,3026.0,1.6107,23.51,0.0276,1025.0,35.9,0
11442793,K00351.06,Kepler-90 b,CONFIRMED,CANDIDATE,0.916,7.00821787,116.4,3.812,1.29,0.0738,1062.0,19.2,1
8261920,K02174.03,Kepler-1802 b,CONFIRMED,CANDIDATE,0.993,7.72513619,382.2,2.042,1.71,0.0662,581.0,10.5,1
5817553,K01040.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,4.206096814,1298.1,10.7381,32.66,0.0531,1252.0,149.3,0
8558011,K00577.02,Kepler-607 b,CONFIRMED,CANDIDATE,1.0,0.638162933,109.7,1.2313,0.91,0.0135,1874.0,17.6,1
9775253,K03621.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,4.39451798,223616.0,2.9527,65.76,0.0418,554.0,249.5,0
10593535,K04204.01,Kepler-1568 b,CONFIRMED,CANDIDATE,0.974,20.9254083,109.0,6.783,1.26,0.1499,729.0,15.5,1
4828341,K01496.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,36.12895451,3758.6,2.2348,53.72,0.2085,546.0,66.3,0
3130300,K01105.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,5.76573396,248.0,2.924,7.47,0.0745,1964.0,22.2,0
6462874,K01231.02,,FALSE POSITIVE,FALSE POSITIVE,0.0,10.42360821,878.3,5.404,1.67,0.0772,515.0,18.7,0
9532123,K06069.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,8.214204254,74177.0,4.5905,42.29,0.0755,798.0,613.1,0
8949247,K01387.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,23.799939273,60186.4,5.02319,51.74,0.1616,637.0,2065.8,0
11959569,K07497.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,46.14869106,349630.0,19.092,114.2,0.2605,647.0,1021.3,0
11294883,K04791.01,,FALSE POSITIVE,FALSE POSITIVE,,427.65334,157.1,11.17,1.97,1.0738,284.0,7.2,0
9509223,K04867.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,14.2005007,80.6,5.232,13.28,0.1169,843.0,10.6,0
